,Model 1,Model 2,Model 3,stat
Intercept,39.439656312954774,41.959477493136355,39.65949876954928,Beta
Intercept,1.6215629549563344,1.7330472507905865,2.2359401863025448,Std Error
disp2[T.high],,,0.25945013003471645,Beta
disp2[T.high],,,1.8940929090239418,Std Error
disp2[T.med],,,-0.0706088014788,Beta
disp2[T.med],,,1.3283471098724429,Std Error
foreign[T.Foreign],,-1.8558908839213828,,Beta
foreign[T.Foreign],,1.4197014919619384,,Std Error
price,-9.351196074130997e-05,5.660206344081049e-05,,Beta
price,0.00016271982988736003,0.0002061028832013879,,Std Error
weight,-0.00581754251173293,-0.006775846929141112,-0.006094185491290491,Beta
weight,0.0006175314476557393,0.000677670661569881,0.0009606194004452286,Std Error
